t,h,v
3.83,0.37285969650604567,-10.958732031762441
3.84,0.35066047976100595,-11.056832031762438
3.85,0.32846126301596523,-11.15493203176244
3.86,0.3062620462709255,-11.253032031762439
3.87,0.2840628295258848,-11.351132031762441
3.88,0.261863612780845,-11.449232031762438
3.89,0.23966439603580483,-11.547332031762439
3.9,0.21746517929076511,-11.645432031762436
3.91,0.1952659625457234,-11.743532031762443
3.92,0.17306674580068368,-11.84163203176244
3.93,0.15086752905564396,-11.93973203176244
3.94,0.12866831231060422,-12.037832031762436
3.95,0.10646909556556253,-12.135932031762444
3.96,0.0842698788205228,-12.23403203176244
3.97,0.06207066207548307,-12.33213203176244
3.98,0.039871445330443345,-12.430232031762436
3.99,0.01767222858540165,-12.528332031762444
4.0,0.023096357794991234,11.325779139651402
4.01,0.13463410605628445,11.227679139651404
4.0200000000000005,0.2456023178503415,11.129579139651398
4.03,0.35657052964438873,11.031479139651399
4.04,0.46753874143843593,10.933379139651402
4.05,0.5653556174497077,10.835279139651403
4.0600000000000005,0.6538763402556983,10.737179139651397
4.07,0.7423970630616811,10.639079139651399
4.08,0.8309177858676637,10.540979139651402
4.09,0.9194385086736464,10.442879139651403
4.1,1.007959231479629,10.344779139651406
4.11,1.0964799542856198,10.246679139651398
4.12,1.1850006770916024,10.148579139651401
4.13,1.2735213998975852,10.050479139651403
4.14,1.362042122703568,9.952379139651406
4.15,1.4505628455095585,9.854279139651398
4.16,1.539083568315541,9.756179139651401
4.17,1.6276042911215238,9.658079139651402
4.18,1.7161250139275066,9.559979139651405
4.19,1.8046457367334972,9.461879139651398
4.2,1.89316645953948,9.3637791396514
4.21,1.9816871823454625,9.265679139651402
4.22,2.0702079051514453,9.167579139651405
4.23,2.158728627957436,9.069479139651397
4.24,2.2472493507634184,8.9713791396514
4.25,2.3357700735694014,8.873279139651402
4.26,2.424290796375384,8.775179139651405
4.2700000000000005,2.5128115191813745,8.677079139651397
4.28,2.6013322419873575,8.5789791396514
4.29,2.68985296479334,8.480879139651401
4.3,2.7783736875993226,8.382779139651404
4.3100000000000005,2.866894410405313,8.284679139651397
4.32,2.955415133211296,8.1865791396514
4.33,3.0439358560172787,8.088479139651401
4.34,3.1324565788232612,7.990379139651403
4.3500000000000005,3.2209773016292518,7.8922791396513965
4.36,3.3094980244352348,7.794179139651399
4.37,3.3980187472412173,7.696079139651401
4.38,3.4865394700472,7.597979139651403
4.39,3.575060192853183,7.499879139651405
4.4,3.6635809156591734,7.401779139651398
4.41,3.752101638465156,7.3036791396514005
4.42,3.840622361271139,7.205579139651403
4.43,3.9291430840771215,7.107479139651405
4.44,4.017663806883112,7.009379139651398
4.45,4.106184529689095,6.9112791396514
4.46,4.194705252495077,6.813179139651402
4.47,4.174059552776274,6.7150791396514045
4.48,4.151387588898327,6.616979139651398
4.49,4.128715625020382,6.5188791396514
4.5,4.106043661142437,6.420779139651402
4.51,4.083371697264492,6.322679139651404
4.5200000000000005,4.060699733386545,6.224579139651397
4.53,4.0380277695085995,6.1264791396514
