t,y1,y2,y3
0.015089633048492847,0.9993980600600074,3.641306419362524e-05,0.000565526875799748
0.015282140360258708,0.999390404341925,3.641165115510006e-05,0.0005731840069206914
0.015477103600870802,0.9993826515608641,3.641022024625711e-05,0.0005809382188903766
0.01567455410205595,0.9993748004939903,3.6408771243195475e-05,0.0005887907347673441
0.015874523595258188,0.9993668499032621,3.6407303919168714e-05,0.0005967427928195677
0.01607704421673822,0.9993587985352471,3.640581804464137e-05,0.0006047956467090127
0.016282148512737935,0.9993506451209357,3.640431338725603e-05,0.000612950565677816
0.016489869444710648,0.9993423883755524,3.6402789711799936e-05,0.0006212088347365792
0.016700240394618395,0.9993340269983673,3.6401246780214515e-05,0.0006295717548532386
0.01691329517029647,0.9993255596725011,3.639968435149384e-05,0.0006380406431481183
0.017129068010886584,0.9993169850647302,3.639810218164418e-05,0.0006466168330889272
0.017347593592339325,0.9993083018252913,3.639650002370353e-05,0.0006553016746857626
0.01756890703298664,0.9992995085876819,3.639487762768426e-05,0.0006640965346911145
0.017793043899185772,0.9992906039684589,3.639323474053783e-05,0.0006730027968013147
0.01802004021103484,0.9992815865670344,3.63915711061187e-05,0.0006820218618602428
0.018249932448161504,0.99927245496547,3.6389886465137827e-05,0.0006911551480655343
0.018482757555585507,0.9992632077282693,3.638818055515377e-05,0.0007004040911763171
0.01871855294965579,0.9992538434021658,3.6386453110511995e-05,0.0007097701447243243
0.018957356524063752,0.9992443605159117,3.638470386231449e-05,0.0007192547802267413
0.01919920665593283,0.9992347575800608,3.638293253838227e-05,0.0007288594874015534
0.019444142211985958,0.9992250330867523,3.638113886321733e-05,0.0007385857743852933
0.019692202554791736,0.9992151855094895,3.637932255796435e-05,0.0007484351679532074
0.019943427549090044,0.9992052133029186,3.637748334028747e-05,0.0007584092137418725
0.020197857568198783,0.999195114902602,3.637562092443788e-05,0.000768509476474238
0.02045553350050195,0.9991848887247923,3.637373502129253e-05,0.0007787375401871399
0.020716496756020667,0.9991745331662011,3.6371825338149625e-05,0.000789095008461396
0.020980789273068064,0.9991640466037676,3.636989157874891e-05,0.000799583504654364
0.021248453524988827,0.9991534273944224,3.6367933443230655e-05,0.0008102046721350547
0.021519532526985193,0.9991426738748508,3.636595062809429e-05,0.0008209601745218367
0.021794069843029538,0.9991317843612517,3.636394282612534e-05,0.0008318516959228238
0.02207210959286543,0.9991207571490957,3.636190972640747e-05,0.0008428809411785834
0.022353696459097964,0.9991095905128787,3.635985101426965e-05,0.0008540496361077114
0.022638875694374342,0.9990982827058743,3.635776637121671e-05,0.0008653595277551159
0.022927693128656487,0.9990868319598829,3.6355655474898046e-05,0.0008768123846428621
0.023220195176586036,0.9990752364849779,3.635351799906355e-05,0.0008884099970237489
0.02351642884494351,0.9990634944692495,3.6351353613543874e-05,0.0009001541771376482
0.023816441740202397,0.9990516040785459,3.634916198420931e-05,0.0009120467594705606
0.02412028207618007,0.9990395634562115,3.634694277282218e-05,0.0009240896010163447
0.024427998681785846,0.9990273707228221,3.634469563710092e-05,0.0009362845815414525
0.024739641008868118,0.9990150239759177,3.634242023063996e-05,0.0009486336038523331
0.025055259140161597,0.9990025212897321,3.634011620286325e-05,0.000961138594065711
0.025374903797335716,0.99898986071492,3.633778319898541e-05,0.0009738015018817219
0.025698626349146183,0.9989770402782808,3.633542085995634e-05,0.0009866243008599376
0.026026478819690044,0.99896405798248,3.63330288224027e-05,0.0009996089886982744
0.026358513896766307,0.9989509118057672,3.633060671859651e-05,0.0010127575875148573
0.026694784940343236,0.9989375997016915,3.632815417640068e-05,0.0010260721441328158
0.027035345991133383,0.9989241195988134,3.632567081921059e-05,0.0010395547303680384
0.027380251779278577,0.9989104694004151,3.632315626577698e-05,0.0010532074433198654
0.02772955773314516,0.9988966469842051,3.632061013054973e-05,0.001067032405665102
0.028083319988231697,0.9988826502020229,3.631803202325311e-05,0.001081031765954594
0.028441595396190338,0.9988684768795386,3.6315421548951535e-05,0.0010952076989131677
0.028804441533962978,0.9988541248159502,3.631277830799814e-05,0.0011095624057425664
0.02917191671303455,0.9988395917836772,3.631010189598291e-05,0.0011240981144275035
0.0295440799888038,0.9988248755280522,3.630739190368032e-05,0.0011388170800448172
0.029920991170073866,0.998809973767008,3.630464791699656e-05,0.0011537215850757738
0.030302710828663995,0.9987948841907622,3.630186951691631e-05,0.0011688139397215346
0.030689300309143512,0.9987796044614995,3.629905627944898e-05,0.0011840964822217926
0.031080821738690638,0.9987641322130485,3.629620777557463e-05,0.0011995715791766326
0.03147733803707643,0.9987484650505579,3.6293323571189265e-05,0.0012152416258715936
0.03187891292677643,0.9987326005501677,3.629040322704981e-05,0.00123110904660598
0.03228561094321127,0.9987165362586778,3.628744629828956e-05,0.001247176295024643
0.03269749744511768,0.998700269693213,3.62844523355019e-05,0.0012634458544522797
0.033114638625052366,0.998683798340885,3.628142088367552e-05,0.0012799202382320826
0.03353710152002929,0.9986671196584513,3.6278351482425204e-05,0.0012966019900670623
0.03396495402229298,0.99865023107197,3.627524366594168e-05,0.0013134936843648551
0.034398264890229284,0.9986331299764519,3.6272096962933574e-05,0.0013305979265858905
0.03483710375941493,0.9986158137355093,3.6268910896568954e-05,0.0013479173535949128
0.03528154115380883,0.9985982796810005,3.6265684984416315e-05,0.0013654546340159265
0.035731648497085385,0.9985805251126719,3.626241873838519e-05,0.0013832124685905155
0.03618749812411277,0.9985625472977965,3.625911166466626e-05,0.001401193590539606
0.036649163292577606,0.9985443434708084,3.625576326367097e-05,0.0014194007659286629
0.03711671819475767,0.998525910832934,3.625237302988439e-05,0.0014378367940369255
0.037590237969445384,0.9985072465518205,3.6248940451998675e-05,0.0014565045077282132
0.03806979871402284,0.9984883477611607,3.624546501273575e-05,0.0014754067738273185
0.0385554774966911,0.9984692115603128,3.62419461887686e-05,0.0014945464934992322
0.03904735236885564,0.9984498350139185,3.6238383450681276e-05,0.00151392660263162
0.039545502377669295,0.998430215151517,3.623477626290574e-05,0.0015335500722209645
0.04005000757873611,0.9984103489671549,3.623112408365817e-05,0.0015534199087622804
0.04056094904897641,0.9983902334189936,3.62274263648749e-05,0.0015735391546423524
0.04107840889965642,0.998369865428912,3.622368255214785e-05,0.0015939108885365553
0.041602470289584095,0.9983492418821069,3.621989208465952e-05,0.0016145382258092485
0.04213321743847289,0.9983283596266863,3.6216054395195684e-05,0.0016354243189192464
0.04267073564047686,0.9983072154732672,3.621216890988346e-05,0.0016565723578236431
0.04321511127789762,0.9982858061945604,3.620823504828549e-05,0.0016779855703920733
0.04376643183506652,0.9982641285249567,3.620425222329562e-05,0.001699667222820787
0.044324785912404005,0.9982421791601087,3.620021984106757e-05,0.001721620620050997
0.04489026324065786,0.9982199547565089,3.619613730094736e-05,0.0017438491061909163
0.04546295469532399,0.9981974519310639,3.6192003995405415e-05,0.0017663560649414675
0.046042952311250294,0.9981746672606652,3.6187819309968086e-05,0.0017891449200255983
0.046630349297427265,0.9981515972817561,3.618358262314603e-05,0.0018122191356215618
0.04722524005196735,0.9981282384898941,3.6179293306357704e-05,0.0018355822168002914
0.04782772017727485,0.9981045873393143,3.617495072388939e-05,0.0018592377099626147
0.048437886495410414,0.9980806402424818,3.6170554232796716e-05,0.0018831892032861463
0.04905583706365046,0.9980563935696459,3.616610318284283e-05,0.0019074403271719799
0.04968167119024568,0.9980318436483884,3.616159691642762e-05,0.0019319947546959427
0.050315489450380564,0.9980069867631687,3.615703476851645e-05,0.0019568562020635077
0.050957393702336,0.9979818191548658,3.6152416066568665e-05,0.0019820284290683375
0.051607487103859075,0.9979563370203159,3.614774013046357e-05,0.0020075152395544016
0.052265874128740765,0.9979305365118465,3.614300627242845e-05,0.0020333204818818347
0.05293266058360556,0.9979044137368069,3.613821379697385e-05,0.002059448049396892
0.0536079536249153,0.9978779647570954,3.61333620008112e-05,0.002085901880904547
0.05429186177618943,0.9978511855886826,3.612845017278259e-05,0.002112685961145408
0.054984494945445994,0.9978240722011309,3.612347759378711e-05,0.0021398043212761215
0.05568596444286409,0.9977966205171107,3.6118443536706856e-05,0.0021672610393533346
0.05639638299867212,0.9977688264119132,3.611334726633271e-05,0.002195060240821278
0.05711586478126435,0.9977406857129586,3.6108188039289706e-05,0.002223206099002929
0.05784452541554797,0.9977121941993022,3.610296510398879e-05,0.002251702835594633
0.05858248200152536,0.9976833476011358,3.609767770052686e-05,0.002280554721164494
0.0593298531331123,0.9976541415992859,3.609232506056529e-05,0.0023097660756543235
0.06008675891719681,0.9976245718247088,3.6086906407324996e-05,0.0023393412688847387
0.06085332099294114,0.9975946338579812,3.6081420955486e-05,0.0023692847210640775
0.06162966255132942,0.9975643232287891,3.6075867911111506e-05,0.002399600903300673
0.06241590835496589,0.9975336354154106,3.607024647157182e-05,0.0024302943381186333
0.06321218475812448,0.9975025658441984,3.606455582546809e-05,0.0024613695999769914
0.06401861972705482,0.9974711098890561,3.60587951525583e-05,0.002492831315792129
0.06483534286054728,0.9974392628709132,3.605296362367847e-05,0.0025246841654638533
0.06566248541075968,0.9974070200571953,3.60470604006619e-05,0.0025569328824048888
0.06650018030431118,0.9973743766612914,3.6041084636268435e-05,0.0025895822540731176
0.06734856216364371,0.9973413278420191,3.6035035474105495e-05,0.002622637122507525
0.06820776732865678,0.997307868703085,3.6028912048551044e-05,0.00265610238486728
0.06907793387861821,0.997273994292542,3.6022713484676554e-05,0.0026899829939740086
0.06995920165435375,0.9972396996022453,3.601643889816546e-05,0.0027242839588571903
0.07085171228072105,0.9972049795673028,3.6010087395224035e-05,0.002759010345302704
0.07175560918936921,0.9971698290655238,3.600365807254921e-05,0.0027941672764044425
0.07267103764178905,0.9971342429168647,3.599715001720975e-05,0.0028297599331188867
0.0735981447526577,0.9970982158828715,3.5990562306581315e-05,0.0028657935548226992
0.07453707951348025,0.9970617426661192,3.5983894008269294e-05,0.002902273439873189
0.07548799281653432,0.997024817909649,3.597714418003177e-05,0.002939204946171693
0.07645103747911879,0.9969874361964013,3.597031186970769e-05,0.0029765934917297767
0.07742636826811278,0.9969495920486476,3.5963396115133513e-05,0.0030144445552380454
0.07841414192484689,0.9969112799274191,3.595639594406347e-05,0.003052763676637648
0.0794145171902934,0.996872494231932,3.594931037410077e-05,0.0030915564576946076
0.08042765483057629,0.9968332292990116,3.5942138412618426e-05,0.003130828562576495
0.08145371766280737,0.9967934794025125,3.593487905668333e-05,0.003170585718431641
0.08249287058125217,0.996753238752737,3.592753129298303e-05,0.0032108337159707672
